log: Loading Employee Data
log: Loading Ticket Data
log: Loading Ticket Data
log: Creating Work Orders
log: Writing Work Orders
log: C026195389-3,Ody,Cadany,T917299706-0,10/21/2020 8:42,04/18/2024 11:57:38,E716799988-1,Torey,Smithe,10/22/2020 12:35
log: C451889506-1,Drusie,Bowditch,T048684000-X,10/21/2020 8:44,04/18/2024 11:57:38,E955623057-2,Steffane,St Quenin,10/22/2020 13:12,CompTIA_Server+
log: C796050261-7,Jamil,Yablsley,T059541046-4,10/21/2020 8:44,04/18/2024 11:57:38,E068397496-3,Dorise,Branchet,10/22/2020 13:23
log: C231377091-5,Lura,Leband,T028923283-X,10/21/2020 8:45,04/18/2024 11:57:38,E718792150-0,Rosmunda,Lowfill,10/22/2020 13:24
log: C204291707-9,Arlen,McAtamney,T266237776-3,10/21/2020 8:45,04/18/2024 11:57:38,E068439228-3,Lory,Lauchlan,10/22/2020 13:25
log: C246748602-8,Laure,Yurlov,T850798250-6,10/21/2020 8:46,04/18/2024 11:57:38,E735007084-5,Keslie,Comsty,10/22/2020 13:40,Microsoft_Certified
log: C767279100-1,Meredithe,Mew,T187935093-9,10/21/2020 8:46,04/18/2024 11:57:38,E848746700-8,Bobby,Dallon,10/22/2020 13:41
log: C741079045-8,Burch,Emberton,T718451216-2,10/21/2020 8:49,04/18/2024 11:57:38,E191500809-3,Nickolaus,Lafont,10/22/2020 13:47
log: C967537629-5,Gypsy,Altamirano,T305830115-4,10/21/2020 8:49,04/18/2024 11:57:38,E649762503-8,Jock,Druett,10/22/2020 13:48
log: C934532475-5,Lionello,Nuccii,T503415572-9,10/21/2020 8:50,04/18/2024 11:57:38,E247421236-1,Raymund,Dufour,10/22/2020 13:59,CompTIA_Server+
log: C062119925-7,Shalna,Wathell,T870457773-6,10/21/2020 8:55,04/18/2024 11:57:38,E280380973-7,Lazar,Packwood,10/22/2020 14:00
log: C300734625-8,Hyacinthie,Coase,T224166245-3,10/21/2020 8:56,04/18/2024 11:57:38,E436229125-3,Faber,Denziloe,10/22/2020 14:22
log: C572226202-1,Agathe,Gotch,T793483431-4,10/21/2020 8:57,04/18/2024 11:57:38,E678727583-8,Jaquenetta,Drivers,10/22/2020 14:41
log: C474537477-1,Peri,O'Cleary,T131837865-6,10/21/2020 8:57,04/18/2024 11:57:38,E532143762-9,Maxie,Brentnall,10/22/2020 15:03,Microsoft_Certified
log: C714585552-6,Urban,Augur,T816619137-7,10/21/2020 8:58,04/18/2024 11:57:38,E409830565-8,Carney,Minker,10/22/2020 15:05
log: C431647596-7,Celestina,Sympson,T511851622-6,10/21/2020 9:01,04/18/2024 11:57:38,E852411464-9,Missie,Shoebottom,10/22/2020 15:19
log: C622654872-X,Yancey,O'Lyhane,T442734992-7,10/21/2020 9:05,04/18/2024 11:57:38,E244030467-0,Imelda,Maddocks,10/22/2020 15:23
log: C930066153-1,Marmaduke,Peacey,T420012847-0,10/21/2020 9:09,04/18/2024 11:57:38,E491766151-X,Jacqui,Minghella,10/22/2020 15:46,CompTIA_Server+
log: C139341861-9,Kaspar,Corzor,T766709363-6,10/21/2020 9:10,04/18/2024 11:57:38,E080544963-9,Celeste,Gue,10/22/2020 17:40
log: C667355631-5,Aurore,St. Leger,T742755834-0,10/21/2020 9:10,04/18/2024 11:57:38,E278439692-4,Drusie,MacCague,10/22/2020 17:46
log: C988864497-1,Clair,Tanti,T108531145-7,10/21/2020 9:11,04/18/2024 11:57:38,E921050002-4,Ashly,Brettor,10/22/2020 17:52
log: C275282237-5,Natalie,Caesmans,T844226114-1,10/21/2020 9:13,04/18/2024 11:57:38,E199205436-3,Carmelita,Wyse,10/22/2020 17:53,Microsoft_Certified
log: C650277414-8,Ardath,Ironside,T411164777-4,10/21/2020 9:15,04/18/2024 11:57:38,E460510684-7,Zola,Petrillo,10/22/2020 18:09
log: C475361027-6,Chrysa,Dendle,T294957129-8,10/21/2020 9:16,04/18/2024 11:57:38,E583827349-6,Lillis,Hallbord,10/22/2020 18:09
log: C343885909-2,Jim,Bryce,T179757074-9,10/21/2020 9:23,04/18/2024 11:57:38,E250230035-5,Agustin,Bonas,10/22/2020 18:17
log: C054865350-X,Jewell,Cops,T670795369-9,10/21/2020 9:26,04/18/2024 11:57:38,E066662186-1,Florella,Eggerton,10/22/2020 18:18,CompTIA_Server+
log: C786890250-7,Cly,Kirrens,T372696076-7,10/21/2020 9:26,04/18/2024 11:57:38,E915433789-5,Constantia,Littrell,10/22/2020 18:42
log: C540373230-6,Ellswerth,Gibling,T468277615-0,10/21/2020 9:28,04/18/2024 11:57:38,E229381915-9,Corissa,Leese,10/22/2020 18:52
log: C282982441-5,Frayda,O'Dougherty,T141355715-5,10/21/2020 9:30,04/18/2024 11:57:38,E807562006-2,Loren,Brecher,10/22/2020 19:16
log: C539841868-8,Mariellen,Whawell,T933583366-5,10/21/2020 9:30,04/18/2024 11:57:38,E891626253-4,Leena,Worman,10/22/2020 19:53,Microsoft_Certified
log: C944084967-3,Tobin,Dotterill,T322873673-3,10/21/2020 9:31,04/18/2024 11:57:38,E528861241-2,Emelda,Mesant,10/22/2020 20:08
log: C814054392-6,Aryn,Glasscott,T408422643-2,10/21/2020 9:31,04/18/2024 11:57:38,E590398301-4,Quincy,Caneo,10/22/2020 21:19
log: C609950036-7,Meryl,Larwood,T684986237-5,10/21/2020 9:32,04/18/2024 11:57:38,E191932958-7,Loren,Nanuccioi,10/22/2020 21:39
log: C342573985-9,Asher,Ovington,T890593102-2,10/21/2020 9:36,04/18/2024 11:57:38,E798518349-3,Durand,McKibbin,10/22/2020 22:12,CompTIA_Server+
log: C391621299-0,Kerry,Blaise,T179012760-2,10/21/2020 9:37,04/18/2024 11:57:38,E163057678-6,Correy,Bowlesworth,10/22/2020 22:58
log: C193701034-1,Amos,McTurley,T522727022-8,10/21/2020 9:39,04/18/2024 11:57:38,E247884184-3,Geno,Van den Oord,10/22/2020 23:10
log: C582636252-9,Staffard,Barok,T312239526-6,10/21/2020 9:41,04/18/2024 11:57:38,E777701112-X,Cleopatra,Gotling,10/22/2020 23:17
log: C792126759-9,Shantee,Huertas,T200781024-7,10/21/2020 9:43,04/18/2024 11:57:38,E219851480-X,Barbabas,Bathow,10/22/2020 23:22,Microsoft_Certified
log: C258465605-1,Bondie,Vasiljevic,T709795681-X,10/21/2020 9:43,04/18/2024 11:57:38,E569321738-8,Emelita,Cuthbertson,10/22/2020 0:00
log: C078199052-1,Phoebe,Keller,T037383842-5,10/21/2020 9:43,04/18/2024 11:57:38,E002730958-4,Anette,Nare,10/22/2020 0:37
log: C920257465-0,Pauly,Bradly,T833798268-3,10/21/2020 9:49,04/18/2024 11:57:38,E173766832-7,Galvan,Barke,10/22/2020 0:43
log: C693057388-4,Rodina,McGrane,T646500785-1,10/21/2020 9:50,04/18/2024 11:57:38,E767582271-4,Horatius,Scobie,10/22/2020 0:44,Microsoft_Certified
log: C139002823-2,Abdul,Simkin,T184586597-9,10/21/2020 9:51,04/18/2024 11:57:38,E994400969-5,Lucky,Slessar,10/22/2020 0:46
log: C302577799-0,Leanna,Flury,T508499068-0,10/21/2020 9:52,04/18/2024 11:57:38,E238784262-6,Geoffry,Mattusov,10/22/2020 0:48
log: C219815892-2,Julee,Pinch,T552007230-2,10/21/2020 9:53,04/18/2024 11:57:38,E549193235-3,Rab,Dedham,10/22/2020 0:49
log: C985449800-X,Godfrey,Wynrehame,T419749787-3,10/21/2020 9:57,04/18/2024 11:57:38,E932383184-0,Magdalen,Habble,10/22/2020 1:14,CompTIA_Server+
log: C143679599-0,Paxon,Giovannelli,T439390264-5,10/21/2020 9:59,04/18/2024 11:57:38,E098634491-5,Andie,Rankine,10/22/2020 1:28
log: C615639534-2,Vincenz,Thing,T382419957-2,10/21/2020 10:01,04/18/2024 11:57:38,E035866010-6,Malissa,Mummery,10/22/2020 2:01
log: C903107743-7,Lesya,Macy,T273271005-9,10/21/2020 10:04,04/18/2024 11:57:38,E628590413-8,Robby,Axworthy,10/22/2020 2:09
log: C618778492-8,Prudi,Sprague,T997475379-1,10/21/2020 10:04,04/18/2024 11:57:38,E259950699-9,Lindy,Rops,10/22/2020 2:30,Microsoft_Certified
log: C571906970-4,Elle,Welling,T701809151-9,10/21/2020 10:09,04/18/2024 11:57:38,E268775104-9,Bealle,Jira,10/22/2020 2:41
log: C154948556-3,Sonnnie,Chaman,T005812234-6,10/21/2020 10:09,04/18/2024 11:57:38,E370350098-0,Meris,Stockton,10/22/2020 2:42
log: C862483474-0,Sharline,Balasini,T166519603-3,10/21/2020 10:10,04/18/2024 11:57:38,E874903957-1,Cleavland,Greggersen,10/22/2020 2:49
log: C016260449-1,Jeremiah,Mattheeuw,T232044225-1,10/21/2020 10:11,04/18/2024 11:57:38,E316442525-2,Chucho,Seres,10/22/2020 2:59,CompTIA_Server+
log: C894723076-6,Sallyann,Aupol,T431460733-5,10/21/2020 10:11,04/18/2024 11:57:38,E122366432-5,Ruy,Dun,10/22/2020 3:11
log: C957141483-2,Ina,Huck,T733391671-5,10/21/2020 10:12,04/18/2024 11:57:38,E223725169-X,Dorise,Zimmermanns,10/22/2020 3:29
log: C727405691-3,Lenee,Landsborough,T038662930-7,10/21/2020 10:14,04/18/2024 11:57:38,E265604863-X,Lindsey,Harpham,10/22/2020 3:33
log: C160218984-6,Sholom,MacCollom,T995508665-3,10/21/2020 10:16,04/18/2024 11:57:38,E564877819-8,Horatio,Roll,10/22/2020 3:38,Microsoft_Certified
log: C175015531-1,Richart,Chicken,T949448681-1,10/21/2020 10:16,04/18/2024 11:57:38,E728914929-7,Rustin,Burds,10/22/2020 3:52
log: C630824427-9,Silvan,Ruffle,T370480717-6,10/21/2020 10:21,04/18/2024 11:57:38,E573157662-9,Sabrina,Laying,10/22/2020 3:53
log: C824518788-7,Gaynor,Franzettoini,T837276100-0,10/21/2020 10:26,04/18/2024 11:57:38,E389203237-8,Meir,Root,10/22/2020 4:08
log: C377788901-6,Jeramie,Chasier,T780675745-7,10/21/2020 10:26,04/18/2024 11:57:38,E768080015-4,Katy,Plumridge,10/22/2020 4:19,CompTIA_Server+
log: C283168065-4,Patti,Loxdale,T321403687-4,10/21/2020 10:27,04/18/2024 11:57:38,E100181454-1,Hilly,Malling,10/22/2020 4:28
log: C341215257-9,Avictor,Tonbridge,T073869863-6,10/21/2020 10:28,04/18/2024 11:57:38,E787184931-X,Etta,Gravett,10/22/2020 4:31
log: C107056278-5,Shelton,Chappelle,T203306242-2,10/21/2020 10:30,04/18/2024 11:57:38,E047885023-9,Thaddeus,Gopsall,10/22/2020 4:57
log: C693148755-8,Craig,Busher,T051312057-2,10/21/2020 10:32,04/18/2024 11:57:38,E311106623-1,Virgie,Parkhouse,10/22/2020 5:16,Microsoft_Certified
log: C819635026-0,Vaughn,Thorsby,T385091102-0,10/21/2020 10:32,04/18/2024 11:57:38,E989964449-8,Karlyn,Lamberth,10/22/2020 5:24
log: C305452089-7,Stanleigh,Breckwell,T059796189-1,10/21/2020 10:32,04/18/2024 11:57:38,E768251656-9,Valdemar,O'Donegan,10/22/2020 5:40
log: C384212838-X,Bond,Roache,T688852340-3,10/21/2020 10:33,04/18/2024 11:57:38,E425282392-7,Wyatan,Gumley,10/22/2020 6:13
log: C506499499-0,Kilian,Steeden,T251573423-5,10/21/2020 10:34,04/18/2024 11:57:38,E161606676-8,Ted,Matteotti,10/22/2020 6:45,CompTIA_Server+
log: C291119890-5,Jarret,Isaksen,T218388183-6,10/21/2020 10:35,04/18/2024 11:57:38,E400109914-4,Prudi,Steuart,10/22/2020 6:50
log: C994190352-2,Ros,Braithwaite,T523011419-3,10/21/2020 10:36,04/18/2024 11:57:38,E279958770-4,Keely,Hanham,10/22/2020 7:22
log: C714547861-7,Calv,Corsan,T217640342-8,10/21/2020 10:37,04/18/2024 11:57:38,E152075054-4,Kamilah,Domengue,10/22/2020 7:24
log: C440265850-0,Channa,Whitnall,T042015826-X,10/21/2020 10:37,04/18/2024 11:57:38,E769348203-2,Anthony,Maven,10/22/2020 7:36,Microsoft_Certified
log: C232358005-1,Stephanie,Artiss,T211469475-5,10/21/2020 10:40,04/18/2024 11:57:38,E966724500-4,Carlita,Elsie,10/22/2020 7:41
log: C689751954-5,Briant,Oliva,T747497622-6,10/21/2020 10:42,04/18/2024 11:57:38,E709721373-6,Arvin,Andreolli,10/22/2020 7:45
log: C740930790-0,Jose,Phillpotts,T201119697-3,10/21/2020 10:43,04/18/2024 11:57:38,E526547558-3,Giacobo,Karus,10/22/2020 8:04
log: C593345002-2,Felicle,Dickinson,T852337494-9,10/21/2020 10:43,04/18/2024 11:57:38,E948802623-5,Lilia,Bowen,10/22/2020 8:12,CompTIA_Server+
log: C171944456-0,Kara-lynn,Wrotham,T976964989-9,10/21/2020 10:45,04/18/2024 11:57:38,E130761876-6,Marys,Gawke,10/22/2020 8:30
log: C771751391-9,Cami,Justham,T651237433-9,10/21/2020 10:46,04/18/2024 11:57:38,E015523682-2,Pennie,Windus,10/22/2020 8:46
log: C155335197-5,Sondra,Burdikin,T040702811-0,10/21/2020 10:48,04/18/2024 11:57:38,E175414192-7,Fowler,Braam,10/22/2020 8:46
log: C248600863-2,Elisabeth,Kliemke,T445023383-2,10/21/2020 10:50,04/18/2024 11:57:38,E978092756-5,Tove,Dodds,10/22/2020 8:50,Microsoft_Certified
log: C167616722-6,Natassia,Gratland,T669511037-9,10/21/2020 10:50,04/18/2024 11:57:38,E179573631-3,Coleen,Punshon,10/22/2020 8:55
log: C814515197-X,Sheffield,Rebeiro,T892412091-3,10/21/2020 10:51,04/18/2024 11:57:38,E936422760-3,Libbie,Caulcott,10/22/2020 9:08
log: C770324272-1,Byram,Michin,T551091223-5,10/21/2020 10:54,04/18/2024 11:57:38,E176224889-1,Nicky,Connikie,10/22/2020 9:17
log: C038259616-1,Mischa,Galvan,T951025523-8,10/21/2020 10:59,04/18/2024 11:57:38,E540690812-X,Diena,Kuzemka,10/22/2020 9:30,CompTIA_Server+
log: C800814158-1,Zechariah,Fergusson,T552591261-9,10/21/2020 10:59,04/18/2024 11:57:38,E947010894-9,Leroi,Perrycost,10/22/2020 9:39
log: C157231460-5,Charyl,Dearell,T580531178-X,10/21/2020 10:59,04/18/2024 11:57:38,E749294844-1,Alys,Cressar,10/22/2020 9:40
log: C585378948-1,Malinda,Rains,T538847535-2,10/21/2020 11:01,04/18/2024 11:57:38,E861822168-6,Anet,Deinhardt,10/22/2020 9:59
log: C877045535-X,Antone,Karadzas,T696290476-2,10/21/2020 11:01,04/18/2024 11:57:38,E957693141-X,Philis,Whinray,10/22/2020 10:03,Microsoft_Certified
log: C388402762-X,Olive,Hatchell,T185017538-1,10/21/2020 11:02,04/18/2024 11:57:38,E612694158-6,Tobi,Blenkinsop,10/22/2020 10:07
log: C438598058-6,Dana,Eickhoff,T135010159-1,10/21/2020 11:03,04/18/2024 11:57:38,E553195157-4,Andree,Gowans,10/22/2020 10:08
log: C114950429-3,Gay,Kocher,T157427922-X,10/21/2020 11:07,04/18/2024 11:57:38,E846421296-8,Amabel,Callis,10/22/2020 10:51
log: C567417214-5,Ugo,Hefford,T613739742-4,10/21/2020 11:09,04/18/2024 11:57:38,E660836158-0,Hammad,Snead,10/22/2020 10:53,CompTIA_Server+
log: C896687231-X,Thor,Nudd,T003373111-X,10/21/2020 11:11,04/18/2024 11:57:38,E237806840-9,Ashia,Brydie,10/22/2020 10:58
log: C098337037-0,Clarinda,Lynn,T601878874-8,10/21/2020 11:18,04/18/2024 11:57:38,E449866299-7,Morgen,Liversedge,10/22/2020 11:17
log: C300969691-4,Tallie,Ferreira,T206580845-4,10/21/2020 11:19,04/18/2024 11:57:38,E395893225-8,Berky,Siddaley,10/22/2020 11:29
log: C106750977-1,Adrian,Andrea,T852202039-6,10/21/2020 11:25,04/18/2024 11:57:38,E478507098-6,Shep,Coatsworth,10/22/2020 11:45,Microsoft_Certified
log: C577149598-0,Farica,Platt,T304005105-9,10/21/2020 11:25,04/18/2024 11:57:38,E046121394-X,Carlyn,Glanville,10/22/2020 12:09
log: C949184342-7,Trace,Daniell,T390279253-1,10/21/2020 11:26,04/18/2024 11:57:38,E952105906-0,Zebadiah,Whitsun,10/22/2020 12:27
log: C326349628-X,Roda,Pessel,T456266959-4,10/21/2020 11:26,04/18/2024 11:57:38,E716799988-1,Torey,Smithe,10/22/2020 12:35
log: C082980243-6,Ginger,Goodright,T436315293-1,10/21/2020 11:26,04/18/2024 11:57:38,E955623057-2,Steffane,St Quenin,10/22/2020 13:12,CompTIA_Server+
log: C255448154-7,Linn,Grigoriev,T301965622-2,10/21/2020 11:30,04/18/2024 11:57:38,E068397496-3,Dorise,Branchet,10/22/2020 13:23
log: C313382323-X,Rudolfo,Sharple,T082853595-7,10/21/2020 11:34,04/18/2024 11:57:38,E718792150-0,Rosmunda,Lowfill,10/22/2020 13:24
log: C163268990-1,Hesther,O' Mullan,T676216644-X,10/21/2020 11:39,04/18/2024 11:57:38,E068439228-3,Lory,Lauchlan,10/22/2020 13:25
log: C743390373-9,Cammy,Nannizzi,T920554685-2,10/21/2020 11:40,04/18/2024 11:57:38,E735007084-5,Keslie,Comsty,10/22/2020 13:40,Microsoft_Certified
log: C757770342-7,Durante,Mungin,T300273751-8,10/21/2020 11:41,04/18/2024 11:57:38,E848746700-8,Bobby,Dallon,10/22/2020 13:41
log: C500935989-8,Georges,Daugherty,T661430699-5,10/21/2020 11:44,04/18/2024 11:57:38,E191500809-3,Nickolaus,Lafont,10/22/2020 13:47
log: C217529215-0,Jon,Shrimplin,T383151331-7,10/21/2020 11:44,04/18/2024 11:57:38,E649762503-8,Jock,Druett,10/22/2020 13:48
log: C567955105-5,Arturo,Figgures,T810984554-1,10/21/2020 11:44,04/18/2024 11:57:38,E247421236-1,Raymund,Dufour,10/22/2020 13:59,CompTIA_Server+
log: C409223106-7,Eleen,Begwell,T917592661-X,10/21/2020 11:44,04/18/2024 11:57:38,E280380973-7,Lazar,Packwood,10/22/2020 14:00
log: C775667829-X,Ianthe,Vernay,T038063353-1,10/21/2020 11:45,04/18/2024 11:57:38,E436229125-3,Faber,Denziloe,10/22/2020 14:22
log: C626883671-5,Gusti,Allanby,T656347580-9,10/21/2020 11:46,04/18/2024 11:57:38,E678727583-8,Jaquenetta,Drivers,10/22/2020 14:41
log: C834779734-X,Justinn,Mattholie,T712528902-9,10/21/2020 11:47,04/18/2024 11:57:38,E532143762-9,Maxie,Brentnall,10/22/2020 15:03,Microsoft_Certified
log: C864135128-0,King,Windaybank,T003204234-5,10/21/2020 11:47,04/18/2024 11:57:38,E409830565-8,Carney,Minker,10/22/2020 15:05
log: C459949189-6,John,Medina,T099874671-1,10/21/2020 11:50,04/18/2024 11:57:38,E852411464-9,Missie,Shoebottom,10/22/2020 15:19
log: C323402896-6,Pebrook,Mundell,T210785275-8,10/21/2020 11:50,04/18/2024 11:57:38,E244030467-0,Imelda,Maddocks,10/22/2020 15:23
log: C197586001-2,Cindie,Rouch,T422949073-9,10/21/2020 11:51,04/18/2024 11:57:38,E491766151-X,Jacqui,Minghella,10/22/2020 15:46,CompTIA_Server+
log: C234950770-X,Rosette,Cairns,T137464633-4,10/21/2020 11:52,04/18/2024 11:57:38,E080544963-9,Celeste,Gue,10/22/2020 17:40
log: C974017291-1,Shelia,Labat,T970128438-0,10/21/2020 11:52,04/18/2024 11:57:38,E278439692-4,Drusie,MacCague,10/22/2020 17:46
log: C045338553-2,Milty,Orehead,T418705666-1,10/21/2020 11:53,04/18/2024 11:57:38,E921050002-4,Ashly,Brettor,10/22/2020 17:52
log: C797426495-0,Lizette,Starcks,T849372909-4,10/21/2020 11:54,04/18/2024 11:57:38,E199205436-3,Carmelita,Wyse,10/22/2020 17:53,Microsoft_Certified
log: C743289741-7,Brian,Byng,T143396332-9,10/21/2020 11:54,04/18/2024 11:57:38,E460510684-7,Zola,Petrillo,10/22/2020 18:09
log: C757089970-9,Lacey,Icke,T121289339-5,10/21/2020 11:54,04/18/2024 11:57:38,E583827349-6,Lillis,Hallbord,10/22/2020 18:09
log: C446143219-X,Gracia,Ketton,T539413329-8,10/21/2020 11:54,04/18/2024 11:57:38,E250230035-5,Agustin,Bonas,10/22/2020 18:17
log: C626593938-6,Anet,Hoodlass,T396103518-0,10/21/2020 11:54,04/18/2024 11:57:38,E066662186-1,Florella,Eggerton,10/22/2020 18:18,CompTIA_Server+
log: C016009090-3,Emmaline,Hukins,T367505791-7,10/21/2020 11:59,04/18/2024 11:57:38,E915433789-5,Constantia,Littrell,10/22/2020 18:42
log: C652193174-1,Lilli,Penning,T266810765-2,10/21/2020 11:59,04/18/2024 11:57:38,E229381915-9,Corissa,Leese,10/22/2020 18:52
log: C880611086-1,Philis,Valiant,T119941623-1,10/21/2020 11:59,04/18/2024 11:57:38,E807562006-2,Loren,Brecher,10/22/2020 19:16
log: C280804477-1,Kimble,Delia,T000049079-2,10/21/2020 12:02,04/18/2024 11:57:38,E891626253-4,Leena,Worman,10/22/2020 19:53,Microsoft_Certified
log: C117002242-1,Dorice,Langfitt,T925560401-5,10/21/2020 12:03,04/18/2024 11:57:38,E528861241-2,Emelda,Mesant,10/22/2020 20:08
log: C801555908-1,Westley,Jeschner,T797975686-X,10/21/2020 12:04,04/18/2024 11:57:38,E590398301-4,Quincy,Caneo,10/22/2020 21:19
log: C626339387-4,Floria,Burkinshaw,T177405815-4,10/21/2020 12:05,04/18/2024 11:57:38,E191932958-7,Loren,Nanuccioi,10/22/2020 21:39
log: C391374031-7,Miriam,Core,T850840276-7,10/21/2020 12:05,04/18/2024 11:57:38,E798518349-3,Durand,McKibbin,10/22/2020 22:12,CompTIA_Server+
log: C415961747-6,Carolynn,Boatwright,T905547860-1,10/21/2020 12:06,04/18/2024 11:57:38,E163057678-6,Correy,Bowlesworth,10/22/2020 22:58
log: C552576820-8,Vevay,Whicher,T505728901-2,10/21/2020 12:08,04/18/2024 11:57:38,E247884184-3,Geno,Van den Oord,10/22/2020 23:10
log: C128797432-5,Manolo,Braidman,T156705706-3,10/21/2020 12:12,04/18/2024 11:57:38,E777701112-X,Cleopatra,Gotling,10/22/2020 23:17
log: C622496166-2,Helga,Smitheman,T617707757-9,10/21/2020 12:13,04/18/2024 11:57:38,E219851480-X,Barbabas,Bathow,10/22/2020 23:22,Microsoft_Certified
log: C267865096-0,Agna,Hebden,T170573377-8,10/21/2020 12:14,04/18/2024 11:57:38,E569321738-8,Emelita,Cuthbertson,10/22/2020 0:00
log: C045035204-8,Merrie,Brownsall,T450412976-0,10/21/2020 12:14,04/18/2024 11:57:38,E002730958-4,Anette,Nare,10/22/2020 0:37
log: C708001183-3,Margalo,Odcroft,T494064897-4,10/21/2020 12:14,04/18/2024 11:57:38,E173766832-7,Galvan,Barke,10/22/2020 0:43
log: C264550971-1,Artie,Marden,T229325125-X,10/21/2020 12:17,04/18/2024 11:57:38,E767582271-4,Horatius,Scobie,10/22/2020 0:44,Microsoft_Certified
log: C093998504-7,Ame,Phebee,T208832060-1,10/21/2020 12:17,04/18/2024 11:57:38,E994400969-5,Lucky,Slessar,10/22/2020 0:46
log: C801514534-1,Dione,Uren,T214828257-3,10/21/2020 12:23,04/18/2024 11:57:38,E238784262-6,Geoffry,Mattusov,10/22/2020 0:48
log: C743599653-X,Nico,Emanuel,T827922627-3,10/21/2020 12:24,04/18/2024 11:57:38,E549193235-3,Rab,Dedham,10/22/2020 0:49
log: C743895948-1,Carmel,MacScherie,T780733234-4,10/21/2020 12:25,04/18/2024 11:57:38,E932383184-0,Magdalen,Habble,10/22/2020 1:14,CompTIA_Server+
log: C313682858-5,Zaria,Dunlap,T151735996-1,10/21/2020 12:26,04/18/2024 11:57:38,E098634491-5,Andie,Rankine,10/22/2020 1:28
log: C445224306-1,Patton,Knapton,T646986430-9,10/21/2020 12:26,04/18/2024 11:57:38,E035866010-6,Malissa,Mummery,10/22/2020 2:01
log: C705003002-3,Jacquette,Parlot,T530223520-X,10/21/2020 12:28,04/18/2024 11:57:38,E628590413-8,Robby,Axworthy,10/22/2020 2:09
log: C697826296-X,Dorine,Kilbee,T107595922-5,10/21/2020 12:29,04/18/2024 11:57:38,E259950699-9,Lindy,Rops,10/22/2020 2:30,Microsoft_Certified
log: C647583259-6,Shauna,Mitrovic,T028432430-2,10/21/2020 12:30,04/18/2024 11:57:38,E268775104-9,Bealle,Jira,10/22/2020 2:41
log: C371504257-5,Erny,Hearsum,T348261099-1,10/21/2020 12:33,04/18/2024 11:57:38,E370350098-0,Meris,Stockton,10/22/2020 2:42
log: C666254971-1,Collin,Seaman,T579891235-3,10/21/2020 12:33,04/18/2024 11:57:38,E874903957-1,Cleavland,Greggersen,10/22/2020 2:49
log: C991344701-1,Riki,Gaitung,T160277651-2,10/21/2020 12:34,04/18/2024 11:57:38,E316442525-2,Chucho,Seres,10/22/2020 2:59,CompTIA_Server+
log: C299412164-6,Johannah,Macquire,T394856738-7,10/21/2020 12:35,04/18/2024 11:57:38,E122366432-5,Ruy,Dun,10/22/2020 3:11
log: C085860356-X,Darrell,Spittle,T448232980-0,10/21/2020 12:36,04/18/2024 11:57:38,E223725169-X,Dorise,Zimmermanns,10/22/2020 3:29
log: C474255655-0,Raddy,Weathey,T624979746-7,10/21/2020 12:36,04/18/2024 11:57:38,E265604863-X,Lindsey,Harpham,10/22/2020 3:33
log: C863128375-4,Engelbert,Kleinber,T665929978-5,10/21/2020 12:37,04/18/2024 11:57:38,E564877819-8,Horatio,Roll,10/22/2020 3:38,Microsoft_Certified
log: C820222042-4,Tallia,Shorter,T414480263-9,10/21/2020 12:38,04/18/2024 11:57:38,E728914929-7,Rustin,Burds,10/22/2020 3:52
log: C845800768-1,Farah,Geleman,T744383114-5,10/21/2020 12:38,04/18/2024 11:57:38,E573157662-9,Sabrina,Laying,10/22/2020 3:53
log: C508584181-6,Babb,Brunotti,T141778302-8,10/21/2020 12:38,04/18/2024 11:57:38,E389203237-8,Meir,Root,10/22/2020 4:08
log: C406540148-8,Mair,Fullstone,T046875469-5,10/21/2020 12:38,04/18/2024 11:57:38,E768080015-4,Katy,Plumridge,10/22/2020 4:19,CompTIA_Server+
log: C328236400-8,Nalani,Ajean,T961891561-1,10/21/2020 12:39,04/18/2024 11:57:38,E100181454-1,Hilly,Malling,10/22/2020 4:28
log: C595472702-3,Tull,Tassel,T929276172-2,10/21/2020 12:39,04/18/2024 11:57:38,E787184931-X,Etta,Gravett,10/22/2020 4:31
log: C209231388-6,Carole,Langstone,T765315010-1,10/21/2020 12:40,04/18/2024 11:57:38,E047885023-9,Thaddeus,Gopsall,10/22/2020 4:57
log: C068357857-X,Byron,Schuricke,T586304112-9,10/21/2020 12:43,04/18/2024 11:57:38,E311106623-1,Virgie,Parkhouse,10/22/2020 5:16,Microsoft_Certified
log: C714082958-6,Hannie,Wyche,T513499555-9,10/21/2020 12:44,04/18/2024 11:57:38,E989964449-8,Karlyn,Lamberth,10/22/2020 5:24
log: C991480810-7,Goran,Castanares,T880322745-8,10/21/2020 12:45,04/18/2024 11:57:38,E768251656-9,Valdemar,O'Donegan,10/22/2020 5:40
log: C788478972-8,Jerri,Hacksby,T573511151-5,10/21/2020 12:47,04/18/2024 11:57:38,E425282392-7,Wyatan,Gumley,10/22/2020 6:13
log: C648985026-5,Domeniga,Houndsom,T382469073-X,10/21/2020 12:47,04/18/2024 11:57:38,E161606676-8,Ted,Matteotti,10/22/2020 6:45,CompTIA_Server+
log: C564829253-8,Noach,Danbury,T145570944-1,10/21/2020 12:48,04/18/2024 11:57:38,E400109914-4,Prudi,Steuart,10/22/2020 6:50
log: C510411080-X,Kendal,Brightie,T571861103-3,10/21/2020 12:50,04/18/2024 11:57:38,E279958770-4,Keely,Hanham,10/22/2020 7:22
